fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
gov_staker_collect_gns_delegation1_withdraw1_filetest.gno	CollectUndelegatedGns (1 delegation, 1 withdraws)	execution-segment-repricing	407573	407573	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_gns_delegation1_withdraw50_filetest.gno	CollectUndelegatedGns (1 delegation, 50 withdraws)	execution-segment-repricing	1517472	1517472	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_gns_delegation1_withdraw5_filetest.gno	CollectUndelegatedGns (1 delegation, 5 withdraws)	execution-segment-repricing	498177	498177	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation100_withdraw1_filetest.gno	CollectReward (100 delegations, 1 withdraws)	execution-segment-repricing	3457355	3457355	0	2333	2333	0	0	243200	243200	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation10_withdraw10_filetest.gno	CollectReward (10 delegations, 10 withdraws)	execution-segment-repricing	3457265	3457265	0	2323	2323	0	0	242200	242200	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation10_withdraw1_filetest.gno	CollectReward (10 delegations, 1 withdraws)	execution-segment-repricing	3453477	3453477	0	2323	2323	0	0	242200	242200	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation10_withdraw50_filetest.gno	CollectReward (10 delegations, 50 withdraws)	execution-segment-repricing	3456198	3456198	0	2323	2323	0	0	242200	242200	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation10_withdraw5_filetest.gno	CollectReward (10 delegations, 5 withdraws)	execution-segment-repricing	3450274	3450274	0	2323	2323	0	0	242200	242200	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation1_withdraw10_filetest.gno	CollectReward (1 delegation, 10 withdraws)	execution-segment-repricing	3527397	3527397	0	2395	2395	0	0	249400	249400	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation1_withdraw1_filetest.gno	CollectReward (1 delegation, 1 withdraws)	execution-segment-repricing	3702983	3702983	0	2395	2395	0	0	249400	249400	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation1_withdraw50_filetest.gno	CollectReward (1 delegation, 50 withdraws)	execution-segment-repricing	3524194	3524194	0	2395	2395	0	0	249400	249400	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_delegation1_withdraw5_filetest.gno	CollectReward (1 delegation, 5 withdraws)	execution-segment-repricing	3525351	3525351	0	2395	2395	0	0	249400	249400	9900	9900	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (1 protocol-fee tokens)	execution-segment-repricing	3710276	3710276	0	368	368	0	0	248900	248900	212100	212100	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (2 protocol-fee tokens)	execution-segment-repricing	5888205	5888205	0	-1860	-1860	0	0	238200	238200	424200	424200	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (3 protocol-fee tokens)	execution-segment-repricing	8186417	8186417	0	-3992	-3992	0	0	238200	238200	637400	637400	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (4 protocol-fee tokens)	execution-segment-repricing	10495832	10495832	0	-6122	-6122	0	0	238200	238200	850400	850400	0	0	0	0.000000	0.000000	0.000000
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (4 protocol-fee tokens but zero amount)	execution-segment-repricing	1701190	1701190	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_delegate_undelegate_filetest.gno	Delegate	execution-segment-repricing	4989756	4992618	2862	38285	38285	0	0	3828500	3828500	0	0	0	2.862	2.862	0.000000	+0.000003	+0.000003
gov_staker_delegate_undelegate_filetest.gno	Undelegate	execution-segment-repricing	2279200	2279200	0	840	840	0	0	84000	84000	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_optimizations_filetest.gno	Undelegate (5 delegations, cached external calls)	execution-segment-repricing	9705646	9705646	0	3510	3510	0	0	351000	351000	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_optimizations_filetest.gno	Delegate (cached external calls)	execution-segment-repricing	3046853	3046853	0	3210	3210	0	0	321000	321000	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_optimizations_filetest.gno	Undelegate (early exit, 3 of 10 delegations)	execution-segment-repricing	6656620	6656620	0	2088	2088	0	0	208800	208800	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_redelegate_filetest.gno	Redelegate	execution-segment-repricing	4363314	4363314	0	1423	1423	0	0	142300	142300	0	0	0	0	0	0.000000	0.000000	0.000000
gov_staker_redelegate_many_delegations_filetest.gno	Redelegate (50 of 100 delegations, optimized)	execution-segment-repricing	123363976	123363976	0	-118826	-118826	0	0	0	0	11882600	11882600	0	0	0	0.000000	0.000000	0.000000
gov_staker_undelegate_many_delegatees_filetest.gno	Undelegate (50 delegatees, large AVL traversal)	execution-segment-repricing	2459149	2459149	0	708	708	0	0	70800	70800	0	0	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 1/5, remaining 4)	execution-segment-repricing	7721509	7721509	0	1850	1850	0	0	407700	407700	222700	222700	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 2/5, remaining 3)	execution-segment-repricing	7380514	7380514	0	-2257	-2257	0	0	0	0	225700	225700	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 3/5, remaining 2)	execution-segment-repricing	7354134	7354134	0	-2257	-2257	0	0	0	0	225700	225700	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 4/5, remaining 1)	execution-segment-repricing	7359580	7359580	0	-2257	-2257	0	0	0	0	225700	225700	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 5/5, remaining 0)	execution-segment-repricing	7231937	7231937	0	-8456	-8456	0	0	0	0	845600	845600	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_deposit_gns_filetest.gno	Launchpad CollectDepositGns	execution-segment-repricing	7588751	7588751	0	-4155	-4155	0	0	213000	213000	628500	628500	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_protocol_fee_1_token_filetest.gno	CollectProtocolFee (1 token)	execution-segment-repricing	3584812	3584812	0	4426	4426	0	0	451800	451800	9200	9200	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_protocol_fee_2_tokens_filetest.gno	CollectProtocolFee (2 tokens)	execution-segment-repricing	5670124	5670124	0	8750	8750	0	0	892900	892900	17900	17900	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_protocol_fee_5_tokens_filetest.gno	CollectProtocolFee (5 tokens)	execution-segment-repricing	11964755	11964755	0	21724	21724	0	0	2216200	2216200	43800	43800	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_protocol_fee_filetest.gno	Launchpad CollectProtocolFee (tokens: 10)	execution-segment-repricing	22358495	22358495	0	43713	43713	0	0	4467700	4467700	96400	96400	0	0	0	0.000000	0.000000	0.000000
launchpad_collect_reward_filetest.gno	Launchpad CollectRewardByDepositId	execution-segment-repricing	3308430	3308430	0	2070	2070	0	0	207000	207000	0	0	0	0	0	0.000000	0.000000	0.000000
launchpad_create_project_filetest.gno	Create Launchpad Project	execution-segment-repricing	8550023	8552378	2355	33729	33729	0	0	3372900	3372900	0	0	0	2.355	2.355	0.000000	+0.000002	+0.000002
launchpad_deposit_gns_filetest.gno	Launchpad DepositGns	execution-segment-repricing	6420331	6420331	0	24246	24246	0	0	2531000	2531000	106400	106400	0	0	0	0.000000	0.000000	0.000000
launchpad_transfer_left_from_project_filetest.gno	Launchpad TransferLeftFromProjectByAdmin	execution-segment-repricing	1268570	1268570	0	41	41	0	0	4100	4100	0	0	0	0	0	0.000000	0.000000	0.000000
