fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat crossing exact-in reverse	execution-segment-repricing	38712364	38836550	124186	-2	-2	0	83758	1400	1400	1600	1600	0	124.186	124.186	0.000000	+0.000124	+0.000124
pool_remaining_pointer_binary_filetest.gno	Remaining pool lifecycle collect-fee	execution-segment-repricing	14353079	14358834	5755	157	164	7	6089	16400	17100	700	700	700	5.755	705.755	+0.000700	+0.000006	+0.000706
pool_remaining_pointer_binary_filetest.gno	Remaining pool lifecycle burn-wide	execution-segment-repricing	31416532	31402599	-13933	-2546	-2549	-3	-11468	600	0	255200	254900	-300	-13.933	-313.933	-0.000300	-0.000014	-0.000314
pool_remaining_pointer_binary_filetest.gno	Remaining pool lifecycle burn-crossing-range	execution-segment-repricing	34322126	34307422	-14704	-7098	-7103	-5	-11468	6600	6600	716400	716900	-500	-14.704	-514.704	-0.000500	-0.000015	-0.000515
pool_swap_wugnot_gns_filetest.gno	Swap (gns -> wugnot, fee:500)	execution-segment-repricing	46900558	47062741	162183	0	6	6	117944	600	600	600	0	600	162.183	762.183	+0.000600	+0.000162	+0.000762
position_decrease_liquidity_filetest.gno	DecreaseLiquidity	execution-segment-repricing	25642310	25629052	-13258	18	12	-6	-11468	1800	1200	0	0	-600	-13.258	-613.258	-0.000600	-0.000013	-0.000613
position_increase_liquidity_filetest.gno	IncreaseLiquidity	execution-segment-repricing	23173207	23156821	-16386	-2084	-2084	0	-15852	5600	5600	214000	214000	0	-16.386	-16.386	0.000000	-0.000016	-0.000016
position_mint_filetest.gno	Mint (bar:foo:500)	execution-segment-repricing	29775489	29757957	-17532	22689	22683	-6	-15852	2268900	2268300	0	0	-600	-17.532	-617.532	-0.000600	-0.000018	-0.000618
position_mint_with_gnot_filetest.gno	CollectFee (with unwrap)	execution-segment-repricing	7914685	7920914	6229	44	44	0	6089	4400	4400	0	0	0	6.229	6.229	0.000000	+0.000006	+0.000006
position_reposition_filetest.gno	DecreaseLiquidity (w. Remove)	execution-segment-repricing	22350216	22336958	-13258	62	62	0	-11468	6200	6200	0	0	0	-13.258	-13.258	0.000000	-0.000013	-0.000013
position_reposition_filetest.gno	Mint (reposition)	execution-segment-repricing	30601698	30584484	-17214	8619	8619	0	-15852	861900	861900	0	0	0	-17.214	-17.214	0.000000	-0.000017	-0.000017
position_stake_position_filetest.gno	SetPoolTier (tier 1)	execution-segment-repricing	4030471	4030471	0	47025	47025	0	0	4702500	4702500	0	0	0	0	0	0.000000	0.000000	0.000000
