fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
launchpad_collect_protocol_fee_5_tokens_filetest.gno	CollectProtocolFee (5 tokens)		11964755	11964755	0	21724	21724	0	0	0	0	0	0	0	0	0
launchpad_collect_protocol_fee_filetest.gno	Launchpad CollectProtocolFee (tokens: 10)		22358495	22358495	0	43713	43713	0	0	0	0	0	0	0	0	0
launchpad_collect_reward_filetest.gno	Launchpad CollectRewardByDepositId		3308430	3308430	0	2070	2070	0	0	0	0	0	0	0	0	0
launchpad_create_project_filetest.gno	Create Launchpad Project		8550023	8551580	1557	33729	33729	0	0	0	0	0	-1.557	-1.557	-1.63485	0
launchpad_deposit_gns_filetest.gno	Launchpad DepositGns		6420331	6420331	0	24246	24246	0	0	0	0	0	0	0	0	0
launchpad_transfer_left_from_project_filetest.gno	Launchpad TransferLeftFromProjectByAdmin		1268570	1268570	0	41	41	0	0	0	0	0	0	0	0	0
pool_create_and_mint_filetest.gno	CreatePool		6718031	6718538	507	25361	25361	0	0	0	0	0	-0.507	-0.507	-0.53235	0
pool_create_and_mint_filetest.gno	Mint (fee:3000, wide range)		31555821	31555824	3	22702	22702	0	0	0	0	0	-0.003	-0.003	-0.00315	0
pool_swap_wugnot_gns_filetest.gno	Swap (gns -> wugnot, fee:500)		47051055	47051553	498	0	0	0	0	0	0	0	-0.498	-0.498	-0.5229	0
position_decrease_liquidity_filetest.gno	DecreaseLiquidity		25630642	25630642	0	18	18	0	0	0	0	0	0	0	0	0
position_increase_liquidity_filetest.gno	IncreaseLiquidity	gno.land/r/onbloc/bar,gno.land/r/onbloc/foo	23148004	23148004	0	-2084	-2084	0	0	0	0	0	0	0	0	0
position_mint_filetest.gno	Mint (bar:foo:500)		29749968	29749971	3	22689	22689	0	0	0	0	0	-0.003	-0.003	-0.00315	0
position_mint_with_gnot_filetest.gno	CollectFee (with unwrap)		7921566	7921569	3	44	44	0	0	0	0	0	-0.003	-0.003	-0.00315	0
position_reposition_filetest.gno	DecreaseLiquidity (w. Remove)		22338548	22338551	3	62	62	0	0	0	0	0	-0.003	-0.003	-0.00315	0
position_reposition_filetest.gno	Mint (reposition)		30576495	30576495	0	8619	8619	0	0	0	0	0	0	0	0	0
position_stake_position_filetest.gno	SetPoolTier (tier 1)		4030471	4053848	23377	47025	46194	-831	23170	83100	0	83100	-23.377	83076.623	83075.45415	83100
position_stake_position_filetest.gno	StakeToken		10617929	10844019	226090	23393	23393	0	153952	0	0	0	-226.09	-226.09	-237.3945	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (0)		73225	75277	2052	0	0	0	0	0	0	0	-2.052	-2.052	-2.1546	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (0)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (1)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (1)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (255)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (255)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (256)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
